	FN	FP
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.15-fp_0.0001-na_0.15	0.149	0.000084
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.25-fp_0.0001-na_0.15	0.193	0.000094
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.15-fp_0.0001-na_0.15	0.169	0.000087
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.25-fp_0.0001-na_0.15	0.238	0.000090
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.15-fp_0.0001-na_0.15	0.163	0.000106
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.25-fp_0.0001-na_0.15	0.253	0.000106
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.15-fp_0.0001-na_0.15	0.141	0.000083
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.25-fp_0.0001-na_0.15	0.283	0.000120
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.142	0.000096
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.262	0.000103
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.135	0.000110
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.227	0.000092
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.147	0.000101
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.225	0.000106
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.15-fp_0.0001-na_0.15	0.165	0.000105
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.25-fp_0.0001-na_0.15	0.271	0.000122
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.15-fp_0.0001-na_0.15	0.143	0.000100
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.25-fp_0.0001-na_0.15	0.220	0.000075
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.15-fp_0.0001-na_0.15	0.160	0.000103
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.25-fp_0.0001-na_0.15	0.236	0.000097
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.15-fp_0.0001-na_0.15	0.154	0.000096
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.25-fp_0.0001-na_0.15	0.219	0.000086
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.15-fp_0.0001-na_0.15	0.155	0.000097
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.25-fp_0.0001-na_0.15	0.227	0.000101
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.15-fp_0.0001-na_0.15	0.162	0.000101
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.25-fp_0.0001-na_0.15	0.277	0.000116
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.153	0.000103
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.247	0.000111
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.152	0.000098
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.246	0.000098
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.124	0.000109
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.256	0.000087
